year,design,avg_length
1892,sit_down,NA
1893,sit_down,NA
1894,sit_down,NA
1895,sit_down,NA
1896,sit_down,NA
1897,sit_down,NA
1898,sit_down,NA
1899,sit_down,NA
1900,sit_down,NA
1901,sit_down,NA
1902,sit_down,2500
1903,sit_down,2500
1904,sit_down,2500
1905,sit_down,2500
1906,sit_down,2500
1907,sit_down,2500
1908,sit_down,3350
1909,sit_down,3350
1910,sit_down,4200
1911,sit_down,2550
1912,sit_down,2550
1913,sit_down,2550
1914,sit_down,2550
1915,sit_down,2550
1916,sit_down,2550
1917,sit_down,2550
1918,sit_down,900
1919,sit_down,900
1920,sit_down,1516
1921,sit_down,1844
1922,sit_down,1844
1923,sit_down,1965.75
1924,sit_down,2360
1925,sit_down,2360
1926,sit_down,2360
1927,sit_down,2857.366666666667
1928,sit_down,2857.366666666667
1929,sit_down,2857.366666666667
1930,sit_down,2857.366666666667
1931,sit_down,2857.366666666667
1932,sit_down,2857.366666666667
1933,sit_down,2857.366666666667
1934,sit_down,2857.366666666667
1935,sit_down,2857.366666666667
1936,sit_down,2771.63
1937,sit_down,2771.63
1938,sit_down,2771.63
1939,sit_down,2771.63
1940,sit_down,2771.63
1941,sit_down,2756.0272727272727
1942,sit_down,2756.0272727272727
1943,sit_down,2756.0272727272727
1944,sit_down,2756.0272727272727
1945,sit_down,2756.0272727272727
1946,sit_down,2849.572727272727
1947,sit_down,2849.572727272727
1948,sit_down,2849.572727272727
1949,sit_down,2849.572727272727
1950,sit_down,2849.572727272727
1951,sit_down,2720.4416666666666
1952,sit_down,2720.4416666666666
1953,sit_down,2720.4416666666666
1954,sit_down,2606.5615384615385
1955,sit_down,2606.5615384615385
1956,sit_down,2514.6642857142856
1957,sit_down,2514.6642857142856
1958,sit_down,2514.6642857142856
1959,sit_down,2433.6866666666665
1960,sit_down,2433.6866666666665
1961,sit_down,2433.6866666666665
1962,sit_down,2433.6866666666665
1963,sit_down,2433.6866666666665
1964,sit_down,2517.5533333333333
1965,sit_down,2517.5533333333333
1966,sit_down,2515.51875
1967,sit_down,2471.9055555555556
1968,sit_down,2471.9055555555556
1969,sit_down,2397.215
1970,sit_down,2367.114285714286
1971,sit_down,2322.0923076923077
1972,sit_down,2156.1096774193547
1973,sit_down,2203.04
1974,sit_down,2180.3166666666666
1975,sit_down,2165.7923076923075
1976,sit_down,2240.8
1977,sit_down,2114.325
1978,sit_down,2197.18115942029
1979,sit_down,2258.8561643835615
1980,sit_down,2260.105194805195
1981,sit_down,2260.22375
1981,suspended,2456
1982,sit_down,2281.3158536585365
1982,suspended,2456
1983,sit_down,2281.0416666666665
1983,suspended,2456
1984,bobsled,1490
1984,sit_down,2260.039534883721
1984,stand_up,2219
1984,suspended,2800
1985,bobsled,1637.3333333333333
1985,sit_down,2243.3808988764044
1985,stand_up,2219
1985,suspended,2800
1986,bobsled,1637.3333333333333
1986,pipeline,1421
1986,sit_down,2269.3860215053764
1986,stand_up,2250
1986,suspended,2800
1987,bobsled,1637.3333333333333
1987,pipeline,1421
1987,sit_down,2303.8404255319147
1987,stand_up,2250
1987,suspended,2800
1988,bobsled,1637.3333333333333
1988,pipeline,1421
1988,sit_down,2345.5
1988,stand_up,2250
1988,suspended,2766.6666666666665
1989,bobsled,1637.3333333333333
1989,sit_down,2434.535714285714
1989,stand_up,2225
1989,suspended,2766.6666666666665
1990,bobsled,1637.3333333333333
1990,sit_down,2465.3254716981132
1990,stand_up,2250
1990,suspended,2766.6666666666665
1991,bobsled,1637.3333333333333
1991,sit_down,2478.504385964912
1991,stand_up,2250
1991,suspended,2766.6666666666665
1992,bobsled,1637.3333333333333
1992,inverted,2700
1992,sit_down,2489.1949579831935
1992,stand_up,2197.5
1992,suspended,2766.6666666666665
1993,bobsled,1637.3333333333333
1993,inverted,2551
1993,sit_down,2496.657258064516
1993,stand_up,2163.3333333333335
1993,suspended,2663
1994,bobsled,1637.3333333333333
1994,inverted,2828.6
1994,sit_down,2497.126717557252
1994,stand_up,2163.3333333333335
1994,suspended,2663
1995,bobsled,1637.3333333333333
1995,inverted,2604.1111111111113
1995,sit_down,2486.989928057554
1995,stand_up,2163.3333333333335
1995,suspended,2663
1996,bobsled,1711
1996,inverted,2742
1996,sit_down,2504.4746666666665
1996,stand_up,2163.3333333333335
1996,suspended,2663
1997,bobsled,1711
1997,inverted,2705.71875
1997,sit_down,2498.392307692308
1997,stand_up,2661.25
1997,suspended,2663
1998,bobsled,1637.3333333333333
1998,inverted,2606.14
1998,sit_down,2464.7082352941175
1998,stand_up,3003
1998,suspended,2663
1999,bobsled,1637.3333333333333
1999,inverted,2482.676
1999,sit_down,2458.6896373056993
1999,stand_up,3002.5
1999,suspended,2663
2000,bobsled,1637.3333333333333
2000,flying,2765.7
2000,inverted,2482.676
2000,sit_down,2536.4761904761904
2000,stand_up,3002.5
2000,suspended,2347.8
2001,bobsled,1637.3333333333333
2001,flying,3052.8
2001,inverted,2224.1
2001,sit_down,2554.3157407407407
2001,stand_up,3002.5
2001,suspended,2347.8
2002,bobsled,1637.3333333333333
2002,flying,2536.85
2002,inverted,2177.581818181818
2002,sit_down,2545.503181818182
2002,stand_up,3159.2
2002,suspended,2173.1666666666665
2002,wing,3610
2003,bobsled,1637.3333333333333
2003,flying,2617.4
2003,inverted,2075.95
2003,sit_down,2534.1982222222223
2003,stand_up,3159.2
2003,suspended,2173.1666666666665
2003,wing,3610
2004,bobsled,1637.3333333333333
2004,flying,2617.4
2004,inverted,2083.120512820513
2004,sit_down,2457.852765957447
2004,stand_up,3159.2
2004,suspended,2173.1666666666665
2004,wing,3610
2005,bobsled,1637.3333333333333
2005,flying,2617.4
2005,inverted,2059.0925
2005,sit_down,2459.43625
2005,stand_up,3159.2
2005,suspended,2173.1666666666665
2005,wing,3610
2006,bobsled,1637.3333333333333
2006,flying,2758.057142857143
2006,inverted,2084.0170731707317
2006,sit_down,2478.719028340081
2006,stand_up,3159.2
2006,suspended,2173.1666666666665
2006,wing,3610
2007,bobsled,1637.3333333333333
2007,flying,2830.7875
2007,inverted,2084.0170731707317
2007,sit_down,2476.0330708661418
2007,stand_up,3159.2
2007,suspended,2173.1666666666665
2007,wing,3610
2008,bobsled,1637.3333333333333
2008,flying,3051.9285714285716
2008,inverted,2114.5285714285715
2008,sit_down,2462.6692015209123
2008,stand_up,3159.2
2008,suspended,2000.9714285714285
2008,wing,3610
2009,bobsled,1637.3333333333333
2009,flying,3090.3125
2009,inverted,2114.5285714285715
2009,sit_down,2469.723880597015
2009,stand_up,3159.2
2009,suspended,2153.3
2009,wing,3610
2010,bobsled,1637.3333333333333
2010,flying,3090.3125
2010,inverted,2114.5285714285715
2010,sit_down,2455.648888888889
2010,stand_up,2910.25
2010,suspended,2023.96
2010,wing,3610
2011,bobsled,1637.3333333333333
2011,flying,2889.4777777777776
2011,inverted,2141.3756097560977
2011,sit_down,2422.029642857143
2011,stand_up,3159.2
2011,suspended,2023.96
2011,wing,2210.2
2012,bobsled,1637.3333333333333
2012,flying,2889.4777777777776
2012,inverted,2114.5285714285715
2012,sit_down,2425.545229681979
2012,stand_up,3159.2
2012,suspended,2023.96
2012,wing,2636.85
2013,bobsled,1426.6666666666667
2013,flying,2889.4777777777776
2013,inverted,2114.5285714285715
2013,sit_down,2417.9836805555556
2013,stand_up,3159.2
2013,suspended,2023.14
2013,wing,2942.28
2014,bobsled,1426.6666666666667
2014,flying,2889.4777777777776
2014,inverted,2161.260465116279
2014,sit_down,2405.8325342465755
2014,stand_up,3159.2
2014,suspended,2023.14
2014,wing,2942.28
2015,bobsled,1426.6666666666667
2015,flying,2889.4777777777776
2015,inverted,2161.260465116279
2015,sit_down,2415.241554054054
2015,stand_up,3159.2
2015,suspended,2023.14
2015,wing,2680.7714285714287
2016,bobsled,1426.6666666666667
2016,flying,2889.4777777777776
2016,inverted,2161.260465116279
2016,sit_down,2415.0616666666665
2016,stand_up,3391.25
2016,suspended,2023.14
2016,wing,2473.05
2017,bobsled,1426.6666666666667
2017,flying,2889.4777777777776
2017,inverted,2161.260465116279
2017,sit_down,2404.88131147541
2017,stand_up,3391.25
2017,suspended,2023.14
2017,wing,2076.490909090909
2018,bobsled,1426.6666666666667
2018,flying,2889.4777777777776
2018,inverted,2188.5809523809526
2018,sit_down,2399.9283439490446
2018,stand_up,3391.25
2018,suspended,2023.14
2018,wing,2203.1
2019,bobsled,1426.6666666666667
2019,flying,2833.175
2019,inverted,2174.7170731707315
2019,sit_down,2390.429447852761
2019,stand_up,3391.25
2019,suspended,1933.65
2019,wing,2095.4545454545455
2020,bobsled,1426.6666666666667
2020,flying,2833.175
2020,inverted,2198.9825
2020,sit_down,2420.1253048780486
2020,stand_up,3391.25
2020,suspended,1933.65
2020,wing,2095.4545454545455
2021,bobsled,1426.6666666666667
2021,flying,2833.175
2021,inverted,2198.9825
2021,sit_down,2415.510843373494
2021,stand_up,3391.25
2021,suspended,1933.65
2021,wing,1985
2022,bobsled,1426.6666666666667
2022,flying,2833.175
2022,inverted,2244.5025
2022,sit_down,2418.1026470588235
2022,stand_up,3391.25
2022,suspended,1933.65
2022,wing,1891.5384615384614
2023,bobsled,1426.6666666666667
2023,flying,2833.175
2023,inverted,2244.5025
2023,sit_down,2412.4436781609197
2023,stand_up,3303
2023,suspended,1933.65
2023,wing,1891.5384615384614
